Symbol,marketCap,trailingPE,forwardPE,priceToBook,trailingEps,forwardEps,bookValue,payoutRatio,beta,fiveYearAvgDividendYield,52WeekChange,averageVolume,enterpriseToRevenue,profitMargins
AAPL,3845545787392,34.83936,28.438677,52.143856,7.47,9.15127,4.991,0.1367,1.093,0.52,0.10652733,45481135,9.348,0.26915002
ABBV,388895277056,166.69696,15.454298,-147.18394,1.32,14.23811,-1.495,4.9014997,0.35,3.73,0.24521899,5765709,7.581,0.04004
ABT,216930811904,15.658291,21.953518,4.2534895,7.96,5.67745,29.303,0.2915,0.72,1.72,0.11246574,6263467,5.121,0.3188
ACN,174234222592,23.219833,18.881872,5.6010528,12.1,14.87988,50.162,0.5017,1.249,1.49,-0.19611043,3833124,2.436,0.107609995
ADBE,138989125632,19.619759,12.459217,11.755104,16.7,26.2978,27.873,0.0,1.526,0.12,-0.18249696,3865345,5.861,0.29997
AIG,41046142976,13.325539,9.432773,0.9818967,5.56,7.85453,75.456,0.3058,0.624,2.22,0.064793944,4652933,1.437,0.120170005
AMD,338127978496,108.73822,31.990698,5.562132,1.91,6.4922,37.34,0.0,1.95,0.0,0.7317593,43946301,10.223,0.10323
AMGN,175296987136,25.138226,14.810731,18.224262,12.95,21.98001,17.863,0.72620004,0.45,3.07,0.20692849,2693266,6.137,0.19474001
AMT,80319135744,27.357256,24.739487,20.321053,6.27,6.93345,8.441,1.0718,0.929,2.77,-0.047643244,3049206,12.316,0.28106
AMZN,2634817470464,34.81215,31.347298,7.1260877,7.08,7.86256,34.587,0.0,1.376,0.0,0.1323812,44986493,3.921,0.11063
AVGO,1669923995648,73.99369,25.008236,5.9473834,4.76,14.08376,59.221,0.4948,1.218,2.06,0.5312264,28806979,2.679,0.36198002
AXP,250232291328,24.182245,20.656427,7.642883,14.87,17.40814,47.049,0.15720001,1.154,1.12,0.26459503,2526270,4.062,0.16143999
BA,187788312576,0.0,106.05337,-22.065697,-13.7,2.26122,-10.868,0.0,1.163,2.48,0.37497807,8224596,2.621,-0.12197
BAC,417241890816,15.079234,12.65724,1.4542435,3.66,4.36035,37.951,0.28959998,1.295,2.34,0.23945844,36727090,4.167,0.29224002
BK,85094359040,17.411257,14.583295,2.1551049,6.93,8.27385,55.988,0.27989998,1.109,2.7,0.564052,3494527,-0.595,0.26568002
BKNG,174738554880,35.059956,20.24667,-36.778088,153.78,266.2917,-146.596,0.24440001,1.234,0.0,0.15286005,257538,6.847,0.19371
BLK,168999682048,28.037582,20.353426,3.0434759,38.85,53.51728,357.9,0.53360003,1.484,2.33,0.13621843,647904,7.74,0.26638
BMY,113533952000,18.777779,9.270433,6.1205,2.97,6.0159,9.112,0.835,0.295,3.86,0.009031773,15551572,3.087,0.12572
BRK-B,1075798147072,15.93704,20.614027,0.0010276043,31.29,24.19081,485274.34,0.0,0.71,0.0,0.124326944,4783393,-0.676,0.18129
C,216673681408,16.5309,11.862743,1.0857033,7.12,9.92182,108.409,0.3202,1.166,3.5,0.6671705,13046283,0.705,0.19488001
CAT,295033962496,32.362286,28.101421,14.266588,19.46,22.41061,44.143,0.29479998,1.568,1.81,0.70377934,2695798,5.009,0.14339
CL,66217529344,22.949581,21.338493,77.14689,3.57,3.83954,1.062,0.5714,0.298,2.31,-0.06452352,6532348,3.633,0.1447
CMCSA,114530238464,4.8272424,7.449372,1.0939206,6.02,3.901,26.565,0.2159,0.807,2.78,-0.16952568,36419628,1.571,0.18333
COF,149135441920,79.863014,11.231512,1.3675735,2.92,20.76301,170.521,0.8219,1.131,1.59,0.38191092,3708009,5.588,0.04899
COP,119273996288,13.488701,15.920301,1.8176973,7.08,5.99863,52.539,0.4407,0.328,2.53,-0.064472795,7055608,2.247,0.14445
COST,418687647744,50.48608,42.456352,13.815593,18.68,22.21293,68.262,0.271,1.008,0.61,0.00019466877,2627369,1.432,0.02961
CRM,246948790272,34.632843,19.790377,4.071127,7.49,13.10738,63.717,0.22,1.266,0.0,-0.18531984,7921443,6.049,0.17913
CSCO,292420517888,28.57529,16.547237,6.2177606,2.59,4.47265,11.903,0.6293,0.863,2.88,0.2573179,20419585,5.3,0.17902
CVS,102011592704,211.4737,11.213957,1.3994149,0.38,7.16607,57.424,7.0,0.484,3.17,0.55861807,7352975,0.441,0.0011999999
CVX,327086276608,22.800562,21.822474,1.7218192,7.12,7.43912,94.284,0.9508,0.687,4.16,0.04351461,8792538,1.94,0.06767
DE,132718395392,26.526485,21.805433,5.1126204,18.5,22.5054,95.986,0.35029998,1.01,1.22,0.13530743,1407596,4.159,0.11017
DHR,171136335872,49.176952,28.378193,3.3053052,4.86,8.42196,72.308,0.2531,0.929,0.41,-0.006294787,3516982,7.624,0.14435
DIS,202842898432,16.470074,15.353754,1.8391067,6.85,7.34804,61.345,0.146,1.442,1.38,0.07216871,10408472,2.662,0.13136
DUK,90760847360,18.379528,17.416466,1.7984158,6.35,6.70113,64.896,0.6614,0.49,3.89,0.10043335,3280443,5.824,0.15972
EMR,81736228864,36.159203,20.43292,4.03352,4.02,7.11401,36.038,0.5236,1.254,2.08,0.21718574,2536333,5.176,0.12728
FDX,73599229952,17.280888,14.72193,2.6048687,18.05,21.18744,119.745,0.3132,1.357,1.77,0.13755047,1646654,0.0,0.04814
GD,97497276416,23.392094,20.940762,3.984237,15.43,17.23624,90.592,0.38369998,0.414,2.12,0.34217012,1186903,1.996,0.081829995
GE,343762632704,43.280376,44.888634,18.177078,7.49,7.22165,17.834,0.18180001,1.403,0.38,0.87439525,4269469,7.924,0.18344
GILD,152122933248,19.007751,13.97683,7.069134,6.45,8.77166,17.343,0.48610002,0.349,3.79,0.3464532,6860575,5.728,0.27882
GM,78927249408,15.820612,7.051005,1.1653079,5.24,11.75719,71.14,0.1031,1.317,4.06,0.65972364,9671477,1.02,0.01625
GOOGL,4019528663040,32.79249,29.467678,10.359941,10.12,11.26183,32.033,0.0809,1.086,0.0,0.7201717,35932538,10.145,0.32233003
GS,287448793088,19.299797,16.983347,2.728443,49.2,55.91065,348.019,0.2641,1.322,2.19,0.6679634,2135638,0.54,0.29073998
HD,373257076736,25.593174,24.89205,30.790834,14.65,15.06264,12.177,0.62409997,1.072,2.32,-0.03736061,4195988,2.631,0.087740004
HON,140569214976,22.004221,19.795235,7.8916507,9.48,10.53789,26.433,0.4768,0.942,2.0,0.0042454004,4218235,3.872,0.1507
IBM,291805626368,37.164288,25.557184,10.45724,8.4,12.21496,29.853,0.7986,0.698,4.11,0.399356,4667403,5.14,0.120900005
INTC,210166202368,734.3334,74.27011,1.9740144,0.06,0.59324,22.32,0.0,1.354,2.69,1.3723958,89620569,4.552,0.0037099998
INTU,176906502144,43.642857,24.036837,9.159231,14.56,26.43609,69.377,0.2967,1.254,0.58,0.054923177,1702385,0.0,0.21191
ISRG,205315620864,75.75992,59.021297,12.006477,7.56,9.70404,47.703,0.0,1.672,0.0,0.08613253,1991524,21.122,0.28577998
JNJ,505277382656,20.282398,18.218208,6.365375,10.34,11.51156,32.947,0.49080002,0.333,2.79,0.41475737,8435006,5.639,0.27259
JPM,892267593728,16.07978,15.436226,2.5968132,20.18,21.02133,124.957,0.2749,1.066,2.43,0.3479792,8795769,3.906,0.347
KO,303408545792,23.344372,21.884623,9.706733,3.02,3.22144,7.263,0.6672,0.387,2.93,0.14371455,16454187,7.085,0.2734
LIN,208022339584,29.733915,24.882929,5.364394,14.92,17.82869,82.699,0.39419997,0.855,1.32,0.053745627,2778164,6.872,0.21170999
LLY,969069756416,52.938297,32.87521,40.700302,20.42,32.88192,26.56,0.2842,0.347,0.97,0.33365095,3494748,16.577,0.30986
LMT,128695271424,30.675571,19.00236,20.512018,17.97,29.00903,26.874,0.7354,0.245,2.67,0.12368572,1487767,1.968,0.05726
LOW,151956160512,22.424671,20.873226,-14.637956,12.08,12.97787,-18.506,0.3891,0.957,1.74,0.07459986,2919143,2.302,0.08045
MA,511923847168,36.18403,29.625477,64.48924,15.65,19.11463,8.781,0.188,0.857,0.53,0.13988626,2750743,16.686,0.45275003
MCD,218898153472,26.195559,23.159964,-101.00428,11.71,13.24484,-3.037,0.6041,0.531,2.21,0.08352435,3161158,10.367,0.3204
MDLZ,71063486464,20.569286,17.44633,2.7070189,2.67,3.14794,20.288,0.7154,0.402,2.39,-0.019227326,10282475,2.436,0.0938
MDT,124349620224,26.273712,15.860343,2.5546098,3.69,6.11273,37.951,0.7642,0.729,2.89,0.19244409,6590001,4.201,0.13706
MET,52084838400,14.749529,7.932649,1.7878829,5.31,9.87312,43.806,0.41900003,0.756,2.96,-0.030521333,3449195,0.991,0.053400002
