Symbol,Name
BTC-USD,BTC
ETH-USD,ETH
BNB-USD,BNB
SOL-USD,SOL
XRP-USD,XRP
ADA-USD,ADA
DOGE-USD,DOGE
AVAX-USD,AVAX
TRX-USD,TRX
LINK-USD,LINK
MATIC-USD,MATIC
DOT-USD,DOT
LTC-USD,LTC
BCH-USD,BCH
SHIB-USD,SHIB
UNI7083-USD,UNI7083
ATOM-USD,ATOM
XLM-USD,XLM
OKB-USD,OKB
ETC-USD,ETC
FIL-USD,FIL
HBAR-USD,HBAR
LDO-USD,LDO
APT21794-USD,APT21794
ARB11841-USD,ARB11841
NEAR-USD,NEAR
VET-USD,VET
QNT-USD,QNT
MKR-USD,MKR
GRT6719-USD,GRT6719
AAVE-USD,AAVE
ALGO-USD,ALGO
EGLD-USD,EGLD
SAND-USD,SAND
STX4847-USD,STX4847
EOS-USD,EOS
XTZ-USD,XTZ
THETA-USD,THETA
IMX10603-USD,IMX10603
FTM-USD,FTM
MANA-USD,MANA
APE18876-USD,APE18876
AXS-USD,AXS
FLOW-USD,FLOW
SNX-USD,SNX
KCS-USD,KCS
NEO-USD,NEO
CHZ-USD,CHZ
CRV-USD,CRV
BAT-USD,BAT
