Metric,V1,V2
Overall Accuracy,0.4698076923076923,0.31470588235294117
Macro Avg F1-Score,0.4099629542076914,0.31462046622738155
Macro Avg Precision,0.4929220059028388,0.33741151714501827
Macro Avg Recall,0.40492565504698,0.33088654765451847
Down: Precision,0.511102139685103,0.25582215949188425
Down: Recall,0.511102139685103,0.4061624649859944
Down: F1-Score,0.511102139685103,0.31392076206971203
Neutral: Precision,0.5458515283842795,0.460857726344452
Neutral: Recall,0.15547263681592038,0.2298031228784793
Neutral: F1-Score,0.2420135527589545,0.30668176670441677
Up: Precision,0.42181234963913394,0.29555466559871846
Up: Recall,0.5482021886399167,0.3566940550990817
Up: F1-Score,0.47677317017901655,0.3232588699080158
Signal Detection Accuracy,0.849423076923077,0.5498529411764705
Direction Accuracy (on signals),0.5357142857142857,0.48287493513233004
Avg Confidence,0.8348919153213501,0.8434725403785706
